Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	7.54706000	5.62530800
0.00100000	7.54706000	5.62530800
0.00200000	7.54706000	5.62530800
0.00300000	7.54706000	5.62530800
0.00400000	7.54706000	5.62530800
0.00500000	7.54706000	5.62530800
0.00600000	7.63379700	5.62530800
0.00700000	7.54706000	5.62530800
0.00800000	7.63379700	5.62530800
0.00900000	7.63379700	5.62530800
0.01000000	7.63379700	5.62530800
0.01100000	7.63379700	5.62530800
0.01200000	7.63379700	5.62530800
0.01300000	7.63379700	5.62530800
0.01400000	7.63379700	5.71173700
0.01500000	7.63379700	5.71173700
0.01600000	7.63379700	5.71173700
0.01700000	7.63379700	5.71173700
0.01800000	7.63379700	5.71173700
0.01900000	7.63379700	5.71173700
0.02000000	7.63379700	5.71173700
0.02100000	7.63379700	5.71173700
0.02200000	7.63379700	5.71173700
0.02300000	7.63379700	5.71173700
0.02400000	7.63379700	5.71173700
0.02500000	7.63379700	5.71173700
0.02600000	7.63379700	5.71173700
0.02700000	7.63379700	5.71173700
0.02800000	7.63379700	5.71173700
0.02900000	7.63379700	5.71173700
0.03000000	7.63379700	5.71173700
0.03100000	7.63379700	5.71173700
0.03200000	7.63379700	5.71173700
0.03300000	7.63379700	5.71173700
0.03400000	7.63379700	5.71173700
0.03500000	7.72053400	5.71173700
0.03600000	7.72053400	5.71173700
0.03700000	7.63379700	5.71173700
0.03800000	7.63379700	5.71173700
0.03900000	7.72053400	5.71173700
0.04000000	7.72053400	5.79847400
0.04100000	7.72053400	5.71173700
0.04200000	7.72053400	5.71173700
0.04300000	7.72053400	5.79847400
0.04400000	7.72053400	5.79847400
0.04500000	7.72053400	5.79847400
0.04600000	7.72053400	5.79847400
0.04700000	7.72053400	5.79847400
0.04800000	7.72053400	5.79847400
0.04900000	7.72053400	5.79847400
0.05000000	7.72053400	5.79847400
0.05100000	7.72053400	5.79847400
0.05200000	7.72053400	5.79847400
0.05300000	7.72053400	5.79847400
0.05400000	7.72053400	5.79847400
0.05500000	7.72053400	5.79847400
0.05600000	7.72053400	5.79847400
0.05700000	7.72053400	5.88490400
0.05800000	7.72053400	5.79847400
0.05900000	7.72053400	5.79847400
0.06000000	7.72053400	5.79847400
0.06100000	7.72053400	5.79847400
0.06200000	7.72053400	5.79847400
0.06300000	7.80727100	5.88490400
0.06400000	7.72053400	5.88490400
0.06500000	7.72053400	5.88490400
0.06600000	7.80727100	5.88490400
0.06700000	7.80727100	5.88490400
0.06800000	7.80727100	5.88490400
0.06900000	7.72053400	5.88490400
0.07000000	7.80727100	5.88490400
0.07100000	7.80727100	5.88490400
0.07200000	7.80727100	5.79847400
0.07300000	7.80727100	5.88490400
0.07400000	7.80727100	5.88490400
0.07500000	7.80727100	5.88490400
0.07600000	7.80727100	5.88490400
0.07700000	7.80727100	5.88490400
0.07800000	7.80727100	5.88490400
0.07900000	7.80727100	5.88490400
0.08000000	7.80727100	5.88490400
0.08100000	7.80727100	5.88490400
0.08200000	7.80727100	5.88490400
0.08300000	7.80727100	5.88490400
0.08400000	7.80727100	5.88490400
0.08500000	7.80727100	5.88490400
0.08600000	7.80727100	5.88490400
0.08700000	7.80727100	5.97133400
0.08800000	7.80727100	5.88490400
0.08900000	7.80727100	5.88490400
0.09000000	7.80727100	5.97133400
0.09100000	7.80727100	5.97133400
0.09200000	7.89400800	5.88490400
0.09300000	7.80727100	5.97133400
0.09400000	7.80727100	5.88490400
0.09500000	7.89400800	5.97133400
0.09600000	7.89400800	5.97133400
0.09700000	7.80727100	5.97133400
0.09800000	7.80727100	5.97133400
0.09900000	7.80727100	5.97133400
0.10000000	7.89400800	5.97133400
0.10100000	7.80727100	5.97133400
0.10200000	7.89400800	5.97133400
0.10300000	7.89400800	5.97133400
0.10400000	7.89400800	5.97133400
0.10500000	7.89400800	5.97133400
0.10600000	7.89400800	5.97133400
0.10700000	7.89400800	5.97133400
0.10800000	7.89400800	5.97133400
0.10900000	7.89400800	5.97133400
0.11000000	7.89400800	5.97133400
0.11100000	7.89400800	5.97133400
0.11200000	7.89400800	5.97133400
0.11300000	7.89400800	5.97133400
0.11400000	7.89400800	5.97133400
0.11500000	7.89400800	5.97133400
0.11600000	7.89400800	5.97133400
0.11700000	7.98074500	6.05807100
0.11800000	7.89400800	6.05807100
0.11900000	7.89400800	6.05807100
0.12000000	7.89400800	6.05807100
0.12100000	7.89400800	5.97133400
0.12200000	7.89400800	5.97133400
0.12300000	7.89400800	6.05807100
0.12400000	7.98074500	6.05807100
0.12500000	7.98074500	6.05807100
