Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	1.21432100	5.62530800
0.00200000	1.21432100	5.62530800
0.00400000	1.12758400	5.62530800
0.00600000	1.21432100	5.62530800
0.00800000	1.21432100	5.62530800
0.01000000	1.21432100	5.62530800
0.01200000	1.21432100	5.62530800
0.01400000	1.12758400	5.62530800
0.01600000	1.12758400	5.62530800
0.01800000	1.12758400	5.62530800
0.02000000	1.12758400	5.62530800
0.02200000	1.21432100	5.71173700
0.02400000	1.12758400	5.71173700
0.02600000	1.12758400	5.71173700
0.02800000	1.12758400	5.71173700
0.03000000	1.12758400	5.71173700
0.03200000	1.12758400	5.71173700
0.03400000	1.12758400	5.71173700
0.03600000	1.12758400	5.71173700
0.03800000	1.12758400	5.71173700
0.04000000	1.12758400	5.71173700
0.04200000	1.12758400	5.71173700
0.04400000	1.12758400	5.71173700
0.04600000	1.12758400	5.71173700
0.04800000	1.12758400	5.71173700
0.05000000	1.12758400	5.79847400
0.05200000	1.12758400	5.71173700
0.05400000	1.12758400	5.79847400
0.05600000	1.12758400	5.79847400
0.05800000	1.12758400	5.79847400
0.06000000	1.12758400	5.79847400
0.06200000	1.12758400	5.79847400
0.06400000	1.12758400	5.79847400
0.06600000	1.12758400	5.79847400
0.06800000	1.12758400	5.79847400
0.07000000	1.12758400	5.79847400
0.07200000	1.12758400	5.79847400
0.07400000	1.04084600	5.79847400
0.07600000	1.04084600	5.79847400
0.07800000	1.12758400	5.79847400
0.08000000	1.12758400	5.88490400
0.08200000	1.04084600	5.88490400
0.08400000	1.04084600	5.88490400
0.08600000	1.04084600	5.79847400
0.08800000	1.04084600	5.88490400
0.09000000	1.04084600	5.88490400
0.09200000	1.04084600	5.88490400
0.09400000	1.04084600	5.88490400
0.09600000	1.04084600	5.88490400
0.09800000	1.04084600	5.88490400
0.10000000	1.04084600	5.97133400
0.10200000	1.04084600	5.88490400
0.10400000	1.04084600	5.88490400
0.10600000	1.04084600	5.88490400
0.10800000	1.04084600	5.88490400
0.11000000	1.04084600	5.97133400
0.11200000	1.04084600	5.88490400
0.11400000	1.04084600	5.97133400
0.11600000	1.04084600	5.97133400
0.11800000	1.04084600	5.97133400
0.12000000	1.04084600	5.97133400
0.12200000	1.04084600	5.97133400
0.12400000	1.04084600	5.97133400
0.12600000	1.04084600	5.97133400
0.12800000	1.04084600	5.97133400
0.13000000	1.04084600	5.97133400
0.13200000	1.04084600	5.97133400
0.13400000	1.04084600	5.97133400
0.13600000	1.04084600	6.05807100
0.13800000	1.04084600	5.97133400
0.14000000	1.04084600	6.05807100
0.14200000	1.04084600	6.05807100
0.14400000	1.04084600	5.97133400
0.14600000	1.04084600	6.05807100
0.14800000	1.04084600	6.05807100
0.15000000	1.04084600	6.05807100
0.15200000	1.04084600	6.05807100
0.15400000	1.04084600	6.05807100
0.15600000	1.04084600	6.05807100
0.15800000	0.95410930	6.05807100
0.16000000	1.04084600	6.05807100
0.16200000	1.04084600	6.05807100
0.16400000	1.04084600	6.05807100
0.16600000	0.95410930	6.05807100
0.16800000	0.95410930	6.14450000
0.17000000	0.95410930	6.05807100
0.17200000	0.95410930	6.05807100
0.17400000	0.95410930	6.05807100
0.17600000	0.95410930	6.14450000
0.17800000	0.95410930	6.05807100
0.18000000	0.95410930	6.14450000
0.18200000	0.95410930	6.14450000
0.18400000	0.95410930	6.14450000
0.18600000	0.95410930	6.14450000
0.18800000	0.95410930	6.14450000
0.19000000	0.95410930	6.14450000
0.19200000	0.95410930	6.14450000
0.19400000	0.95410930	6.14450000
0.19600000	0.95410930	6.14450000
0.19800000	0.95410930	6.14450000
0.20000000	0.95410930	6.14450000
0.20200000	0.95410930	6.14450000
0.20400000	0.95410930	6.14450000
0.20600000	0.95410930	6.14450000
0.20800000	0.95410930	6.14450000
0.21000000	0.95410930	6.14450000
0.21200000	0.95410930	6.14450000
0.21400000	0.95410930	6.14450000
0.21600000	0.95410930	6.14450000
0.21800000	0.95410930	6.23123800
0.22000000	0.86737200	6.23123800
0.22200000	0.95410930	6.23123800
0.22400000	0.95410930	6.23123800
0.22600000	0.95410930	6.23123800
0.22800000	0.86737200	6.23123800
0.23000000	0.86737200	6.23123800
0.23200000	0.86737200	6.23123800
0.23400000	0.86737200	6.23123800
0.23600000	0.86737200	6.23123800
0.23800000	0.95410930	6.23123800
0.24000000	0.86737200	6.23123800
0.24200000	0.86737200	6.23123800
0.24400000	0.95410930	6.23123800
0.24600000	0.86737200	6.23123800
0.24800000	0.86737200	6.23123800
0.25000000	0.86737200	6.23123800
